*Ti (Z = 22) Atomic weight: /A_r / = 47.88000 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 4.5300
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  7.95067E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  8.78870E+05 
    7 edges. Edge energies (keV):

     
      K      4.96640E+00  L I    5.63700E-01  L II   4.61500E-01  L III  4.55500E-01 
      M I    6.03000E-02  M II   3.46000E-02  M III  3.46000E-02 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -7.3171E-02,
    -4.5000E-02 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -5.5454E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=22, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
9.342948E-01  2.11416E+01  7.0640E+00  6.6449E+03  3.1973E+00  6.6481E+03  0.000E+00  1.327E+00
9.987612E-01  2.14337E+01  6.4217E+00  5.6509E+03  3.2459E+00  5.6541E+03  0.000E+00  1.241E+00
1.067676E+00  2.16411E+01  5.7774E+00  4.7557E+03  3.2849E+00  4.7590E+03  0.000E+00  1.161E+00
1.141345E+00  2.17616E+01  5.1954E+00  4.0006E+03  3.3139E+00  4.0039E+03  0.000E+00  1.086E+00
1.220098E+00  2.18304E+01  4.6702E+00  3.3641E+03  3.3329E+00  3.3674E+03  0.000E+00  1.016E+00
1.304285E+00  2.18617E+01  4.1983E+00  2.8289E+03  3.3419E+00  2.8322E+03  0.000E+00  9.506E-01
1.394281E+00  2.18659E+01  3.7746E+00  2.3793E+03  3.3407E+00  2.3826E+03  0.000E+00  8.892E-01
1.490486E+00  2.18498E+01  3.3947E+00  2.0017E+03  3.3297E+00  2.0050E+03  0.000E+00  8.318E-01
1.593329E+00  2.18189E+01  3.0542E+00  1.6847E+03  3.3089E+00  1.6880E+03  0.000E+00  7.781E-01
1.703269E+00  2.17801E+01  2.7492E+00  1.4186E+03  3.2788E+00  1.4219E+03  0.000E+00  7.279E-01
1.820795E+00  2.17335E+01  2.4762E+00  1.1952E+03  3.2397E+00  1.1984E+03  0.000E+00  6.809E-01
1.946430E+00  2.16786E+01  2.2158E+00  1.0005E+03  3.1920E+00  1.0037E+03  0.000E+00  6.370E-01
2.080733E+00  2.16125E+01  1.9839E+00  8.3797E+02  3.1364E+00  8.4111E+02  0.000E+00  5.959E-01
2.224304E+00  2.15408E+01  1.7785E+00  7.0272E+02  3.0733E+00  7.0579E+02  0.000E+00  5.574E-01
2.377781E+00  2.14645E+01  1.5901E+00  5.8772E+02  3.0033E+00  5.9072E+02  0.000E+00  5.214E-01
2.541848E+00  2.13815E+01  1.4215E+00  4.9151E+02  2.9272E+00  4.9444E+02  0.000E+00  4.878E-01
2.717235E+00  2.12933E+01  1.2720E+00  4.1144E+02  2.8457E+00  4.1429E+02  0.000E+00  4.563E-01
2.904724E+00  2.12005E+01  1.1394E+00  3.4473E+02  2.7593E+00  3.4749E+02  0.000E+00  4.268E-01
3.105150E+00  2.11027E+01  1.0116E+00  2.8633E+02  2.6689E+00  2.8900E+02  0.000E+00  3.993E-01
3.319406E+00  2.09847E+01  8.9095E-01  2.3589E+02  2.5750E+00  2.3846E+02  0.000E+00  3.735E-01
3.548445E+00  2.08432E+01  7.8546E-01  1.9454E+02  2.4786E+00  1.9702E+02  0.000E+00  3.494E-01
3.793288E+00  2.06701E+01  6.9316E-01  1.6060E+02  2.3801E+00  1.6298E+02  0.000E+00  3.269E-01
4.055024E+00  2.04452E+01  6.1232E-01  1.3271E+02  2.2803E+00  1.3499E+02  0.000E+00  3.058E-01
4.334821E+00  2.01195E+01  5.4145E-01  1.0978E+02  2.1798E+00  1.1196E+02  0.000E+00  2.860E-01
4.633924E+00  1.95302E+01  4.7926E-01  9.0896E+01  2.0792E+00  9.2975E+01  0.000E+00  2.676E-01
4.867072E+00  1.83295E+01  4.3839E-01  7.9162E+01  2.0055E+00  8.1168E+01  0.000E+00  2.547E-01
4.941568E+00  1.68446E+01  4.2651E-01  7.5855E+01  1.9827E+00  7.7838E+01  0.000E+00  2.509E-01
4.953664E+00  1.61067E+01  4.2463E-01  7.5337E+01  1.9791E+00  7.7316E+01  0.000E+00  2.503E-01
4.961434E+00  1.50532E+01  4.2343E-01  7.5006E+01  1.9767E+00  7.6983E+01  0.000E+00  2.499E-01
4.991232E+00  1.68795E+01  3.9516E+00  6.9581E+02  1.9678E+00  6.9778E+02  6.221E+02  2.484E-01
5.065728E+00  1.85331E+01  3.8444E+00  6.6698E+02  1.9457E+00  6.6893E+02  5.962E+02  2.448E-01
5.295467E+00  1.99941E+01  3.5500E+00  5.8919E+02  1.8799E+00  5.9107E+02  5.267E+02  2.341E-01
5.660855E+00  2.08781E+01  3.1852E+00  4.9451E+02  1.7822E+00  4.9629E+02  4.426E+02  2.190E-01
6.051453E+00  2.13665E+01  2.8699E+00  4.1681E+02  1.6864E+00  4.1850E+02  3.737E+02  2.049E-01
6.469004E+00  2.16932E+01  2.5886E+00  3.5168E+02  1.5928E+00  3.5327E+02  3.158E+02  1.917E-01
6.915365E+00  2.19215E+01  2.3196E+00  2.9479E+02  1.5018E+00  2.9629E+02  2.649E+02  1.793E-01
7.392525E+00  2.20793E+01  2.0760E+00  2.4681E+02  1.4137E+00  2.4822E+02  2.219E+02  1.677E-01
7.902609E+00  2.21897E+01  1.8566E+00  2.0648E+02  1.3288E+00  2.0781E+02  1.857E+02  1.569E-01
8.447890E+00  2.22671E+01  1.6599E+00  1.7269E+02  1.2471E+00  1.7394E+02  1.553E+02  1.468E-01
9.030794E+00  2.23223E+01  1.4823E+00  1.4426E+02  1.1689E+00  1.4543E+02  1.298E+02  1.373E-01
9.653919E+00  2.23587E+01  1.3190E+00  1.2008E+02  1.0942E+00  1.2117E+02  1.082E+02  1.284E-01
1.032004E+01  2.24196E+01  1.1692E+00  9.9571E+01  1.0233E+00  1.0059E+02  8.979E+01  1.201E-01
1.103212E+01  2.24250E+01  1.0330E+00  8.2293E+01  9.5597E-01  8.3249E+01  7.426E+01  1.124E-01
1.179334E+01  2.24203E+01  9.1250E-01  6.8002E+01  8.9237E-01  6.8894E+01  6.142E+01  1.051E-01
1.260708E+01  2.24091E+01  8.0612E-01  5.6196E+01  8.3244E-01  5.7028E+01  5.080E+01  9.834E-02
1.347697E+01  2.23936E+01  7.1218E-01  4.6444E+01  7.7613E-01  4.7220E+01  4.202E+01  9.200E-02
1.440688E+01  2.23754E+01  6.2924E-01  3.8386E+01  7.2338E-01  3.9109E+01  3.475E+01  8.606E-02
1.540095E+01  2.23555E+01  5.5599E-01  3.1728E+01  6.7409E-01  3.2402E+01  2.874E+01  8.050E-02
1.646362E+01  2.23348E+01  4.9128E-01  2.6226E+01  6.2815E-01  2.6854E+01  2.377E+01  7.531E-02
1.759961E+01  2.23139E+01  4.3414E-01  2.1679E+01  5.8545E-01  2.2264E+01  1.966E+01  7.045E-02
1.881398E+01  2.22934E+01  3.8365E-01  1.7922E+01  5.4584E-01  1.8468E+01  1.626E+01  6.590E-02
2.011215E+01  2.22735E+01  3.3906E-01  1.4816E+01  5.0920E-01  1.5325E+01  1.345E+01  6.165E-02
2.149988E+01  2.22547E+01  2.9966E-01  1.2250E+01  4.7537E-01  1.2725E+01  1.112E+01  5.767E-02
2.298338E+01  2.22365E+01  2.6320E-01  1.0064E+01  4.4420E-01  1.0508E+01  9.136E+00  5.395E-02
2.456923E+01  2.22186E+01  2.3115E-01  8.2686E+00  4.1554E-01  8.6841E+00  7.503E+00  5.046E-02
2.626450E+01  2.22014E+01  2.0302E-01  6.7934E+00  3.8923E-01  7.1826E+00  6.162E+00  4.721E-02
2.807676E+01  2.21864E+01  1.7732E-01  5.5507E+00  3.6511E-01  5.9158E+00  5.035E+00  4.416E-02
3.001405E+01  2.21708E+01  1.5460E-01  4.5269E+00  3.4305E-01  4.8700E+00  4.107E+00  4.131E-02
3.208502E+01  2.21559E+01  1.3479E-01  3.6921E+00  3.2288E-01  4.0150E+00  3.350E+00  3.864E-02
3.429889E+01  2.21420E+01  1.1752E-01  3.0113E+00  3.0447E-01  3.3158E+00  2.733E+00  3.615E-02
3.666551E+01  2.21289E+01  1.0247E-01  2.4561E+00  2.8768E-01  2.7438E+00  2.229E+00  3.381E-02
3.919543E+01  2.21169E+01  8.9345E-02  2.0034E+00  2.7237E-01  2.2758E+00  1.819E+00  3.163E-02
4.189992E+01  2.21058E+01  7.7906E-02  1.6341E+00  2.5842E-01  1.8925E+00  1.483E+00  2.959E-02
4.479101E+01  2.20957E+01  6.7933E-02  1.3329E+00  2.4571E-01  1.5786E+00  1.210E+00  2.768E-02
4.788159E+01  2.20863E+01  5.9238E-02  1.0873E+00  2.3413E-01  1.3214E+00  9.871E-01  2.589E-02

