*Na (Z = 11) Atomic weight: /A_r / = 22.98980 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 9.6900E-01
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  3.81755E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  1.83039E+06 
    4 edges. Edge energies (keV):

     
      K      1.07210E+00  L I    6.33000E-02  L II   3.11000E-02  L III  3.11000E-02 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -1.5378E-02,
    -8.4000E-03 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -2.8873E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=11, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
8.739896E-01  8.76706E+00  4.0486E-01  8.4790E+02  1.8239E+00  8.4972E+02  0.000E+00  1.419E+00
9.342948E-01  8.42597E+00  3.6364E-01  7.1240E+02  1.8505E+00  7.1425E+02  0.000E+00  1.327E+00
9.987612E-01  7.79970E+00  3.2676E-01  5.9884E+02  1.8714E+00  6.0071E+02  0.000E+00  1.241E+00
1.050658E+00  6.52412E+00  2.9882E-01  5.2058E+02  1.8832E+00  5.2246E+02  0.000E+00  1.180E+00
1.067676E+00  4.91181E+00  2.9049E-01  4.9801E+02  1.8863E+00  4.9990E+02  0.000E+00  1.161E+00
1.071028E+00  3.52095E+00  2.8890E-01  4.9373E+02  1.8869E+00  4.9562E+02  0.000E+00  1.158E+00
1.077461E+00  4.89062E+00  3.3468E+00  5.6855E+03  1.8879E+00  5.6874E+03  5.200E+03  1.151E+00
1.093542E+00  6.12496E+00  3.6044E+00  6.0331E+03  1.8902E+00  6.0350E+03  5.567E+03  1.134E+00
1.141345E+00  7.70749E+00  4.2220E+00  6.7709E+03  1.8953E+00  6.7728E+03  6.356E+03  1.086E+00
1.220098E+00  9.32686E+00  4.0897E+00  6.1354E+03  1.8984E+00  6.1373E+03  5.791E+03  1.016E+00
1.304285E+00  1.02655E+01  3.5285E+00  4.9517E+03  1.8955E+00  4.9536E+03  4.667E+03  9.506E-01
1.394281E+00  1.06769E+01  2.9168E+00  3.8291E+03  1.8869E+00  3.8310E+03  3.593E+03  8.892E-01
1.490486E+00  1.08500E+01  2.5451E+00  3.1255E+03  1.8727E+00  3.1274E+03  2.930E+03  8.318E-01
1.593329E+00  1.09680E+01  2.2568E+00  2.5926E+03  1.8532E+00  2.5945E+03  2.430E+03  7.781E-01
1.703269E+00  1.10540E+01  2.0296E+00  2.1810E+03  1.8285E+00  2.1828E+03  2.046E+03  7.279E-01
1.820795E+00  1.11263E+01  1.8413E+00  1.8510E+03  1.7989E+00  1.8528E+03  1.739E+03  6.809E-01
1.946430E+00  1.11914E+01  1.6757E+00  1.5758E+03  1.7650E+00  1.5776E+03  1.483E+03  6.370E-01
2.080733E+00  1.12505E+01  1.5228E+00  1.3396E+03  1.7269E+00  1.3413E+03  1.262E+03  5.959E-01
2.224304E+00  1.13511E+01  1.3668E+00  1.1248E+03  1.6851E+00  1.1265E+03  1.060E+03  5.574E-01
2.377781E+00  1.13777E+01  1.2171E+00  9.3691E+02  1.6400E+00  9.3855E+02  8.833E+02  5.214E-01
2.541848E+00  1.13894E+01  1.0838E+00  7.8044E+02  1.5920E+00  7.8203E+02  7.357E+02  4.878E-01
2.717235E+00  1.13918E+01  9.6513E-01  6.5013E+02  1.5416E+00  6.5167E+02  6.128E+02  4.563E-01
2.904724E+00  1.13880E+01  8.5948E-01  5.4160E+02  1.4891E+00  5.4309E+02  5.105E+02  4.268E-01
3.105150E+00  1.13852E+01  7.6236E-01  4.4939E+02  1.4351E+00  4.5083E+02  4.236E+02  3.993E-01
3.319406E+00  1.13721E+01  6.7370E-01  3.7149E+02  1.3799E+00  3.7287E+02  3.504E+02  3.735E-01
3.548445E+00  1.13556E+01  5.9538E-01  3.0711E+02  1.3238E+00  3.0843E+02  2.898E+02  3.494E-01
3.793288E+00  1.13373E+01  5.2617E-01  2.5390E+02  1.2674E+00  2.5517E+02  2.397E+02  3.269E-01
4.055024E+00  1.13182E+01  4.6503E-01  2.0991E+02  1.2110E+00  2.1112E+02  1.983E+02  3.058E-01
4.334821E+00  1.12991E+01  4.1100E-01  1.7355E+02  1.1548E+00  1.7470E+02  1.640E+02  2.860E-01
4.633924E+00  1.12804E+01  3.6326E-01  1.4349E+02  1.0993E+00  1.4459E+02  1.356E+02  2.676E-01
4.953664E+00  1.12619E+01  3.1883E-01  1.1781E+02  1.0446E+00  1.1885E+02  1.113E+02  2.503E-01
5.295467E+00  1.12430E+01  2.7975E-01  9.6698E+01  9.9105E-01  9.7689E+01  9.138E+01  2.341E-01
5.660855E+00  1.12245E+01  2.4548E-01  7.9372E+01  9.3888E-01  8.0311E+01  7.500E+01  2.190E-01
6.051453E+00  1.12068E+01  2.1540E-01  6.5153E+01  8.8826E-01  6.6041E+01  6.155E+01  2.049E-01
6.469004E+00  1.11899E+01  1.8902E-01  5.3482E+01  8.3936E-01  5.4321E+01  5.052E+01  1.917E-01
6.915365E+00  1.11740E+01  1.6587E-01  4.3902E+01  7.9232E-01  4.4694E+01  4.146E+01  1.793E-01
7.392525E+00  1.11591E+01  1.4555E-01  3.6039E+01  7.4724E-01  3.6786E+01  3.403E+01  1.677E-01
7.902609E+00  1.11453E+01  1.2773E-01  2.9585E+01  7.0420E-01  3.0289E+01  2.793E+01  1.569E-01
8.447890E+00  1.11325E+01  1.1209E-01  2.4287E+01  6.6327E-01  2.4950E+01  2.292E+01  1.468E-01
9.030794E+00  1.11217E+01  9.8173E-02  1.9898E+01  6.2448E-01  2.0522E+01  1.877E+01  1.373E-01
9.653919E+00  1.11112E+01  8.5365E-02  1.6185E+01  5.8783E-01  1.6773E+01  1.527E+01  1.284E-01
1.032004E+01  1.11009E+01  7.4228E-02  1.3165E+01  5.5333E-01  1.3718E+01  1.242E+01  1.201E-01
1.103212E+01  1.10913E+01  6.4546E-02  1.0709E+01  5.2095E-01  1.1230E+01  1.011E+01  1.124E-01
1.179334E+01  1.10825E+01  5.6127E-02  8.7112E+00  4.9065E-01  9.2018E+00  8.220E+00  1.051E-01
1.260708E+01  1.10744E+01  4.8806E-02  7.0861E+00  4.6237E-01  7.5485E+00  6.686E+00  9.834E-02
1.347697E+01  1.10671E+01  4.2441E-02  5.7642E+00  4.3606E-01  6.2003E+00  5.439E+00  9.200E-02
1.440688E+01  1.10604E+01  3.6907E-02  4.6890E+00  4.1165E-01  5.1006E+00  4.424E+00  8.606E-02
1.540095E+01  1.10543E+01  3.2094E-02  3.8143E+00  3.8904E-01  4.2033E+00  3.599E+00  8.050E-02
1.646362E+01  1.10487E+01  2.7909E-02  3.1029E+00  3.6816E-01  3.4711E+00  2.927E+00  7.531E-02
1.759961E+01  1.10438E+01  2.4270E-02  2.5241E+00  3.4891E-01  2.8730E+00  2.381E+00  7.045E-02
1.881398E+01  1.10393E+01  2.1106E-02  2.0533E+00  3.3119E-01  2.3845E+00  1.937E+00  6.590E-02
2.011215E+01  1.10352E+01  1.8354E-02  1.6704E+00  3.1493E-01  1.9853E+00  1.576E+00  6.165E-02
2.149988E+01  1.10315E+01  1.5961E-02  1.3589E+00  3.0001E-01  1.6589E+00  1.282E+00  5.767E-02
2.298338E+01  1.10283E+01  1.3875E-02  1.1050E+00  2.8634E-01  1.3913E+00  1.042E+00  5.395E-02
2.456923E+01  1.10253E+01  1.2014E-02  8.9501E-01  2.7384E-01  1.1688E+00  8.438E-01  5.046E-02
2.626450E+01  1.10226E+01  1.0402E-02  7.2491E-01  2.6240E-01  9.8731E-01  6.832E-01  4.721E-02
2.807676E+01  1.10202E+01  8.9800E-03  5.8543E-01  2.5194E-01  8.3737E-01  5.515E-01  4.416E-02
3.001405E+01  1.10181E+01  7.7433E-03  4.7222E-01  2.4237E-01  7.1459E-01  4.447E-01  4.131E-02
3.208502E+01  1.10161E+01  6.6761E-03  3.8086E-01  2.3361E-01  6.1447E-01  3.586E-01  3.864E-02
3.429889E+01  1.10143E+01  5.7560E-03  3.0717E-01  2.2559E-01  5.3276E-01  2.892E-01  3.615E-02
3.666551E+01  1.10128E+01  4.9627E-03  2.4775E-01  2.1823E-01  4.6598E-01  2.332E-01  3.381E-02
3.919543E+01  1.10114E+01  4.2788E-03  1.9982E-01  2.1147E-01  4.1129E-01  1.881E-01  3.163E-02
4.189992E+01  1.10101E+01  3.6891E-03  1.6116E-01  2.0523E-01  3.6639E-01  1.517E-01  2.959E-02
4.479101E+01  1.10090E+01  3.1807E-03  1.2998E-01  1.9946E-01  3.2944E-01  1.223E-01  2.768E-02
4.788159E+01  1.10080E+01  2.7424E-03  1.0484E-01  1.9410E-01  2.9894E-01  9.865E-02  2.589E-02

